PRODUCTID|PRODUCTIDEXT|||CATEGORIE
"RCB_TIE000000240514"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000122725"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240504"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240512"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240606"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240535"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240633"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240632"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240562"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240625"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240574"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240519"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240466"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000125258"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000125347"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240599"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240501"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240533"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240476"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000130765"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240509"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240690"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240515"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240563"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240658"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240588"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240508"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240680"|"RCB_STE_COM000000000013"|||"1**"
