"RCB_TIE000000134897"||"29357"
"RCB_TIE000000135119"||"17162"
"RCB_TIE000000133278"||"27052"
"RCB_TIE000000135192"||"29427"
"RCB_TIE000000135153"||"17119"
"RCB_TIE000000136238"||"17830"
"RCB_TIE000000133260"||"28788"
"RCB_TIE000000133481"||"15772"
"RCB_TIE000000133566"||"30261"
"RCB_TIE000000137092"||"18920"
"RCB_TIE000000137387"||"18793"
"RCB_TIE000000137385"||"12726"
"RCB_TIE000000137399"||"28247"
"RCB_TIE000000133701"||"16188"
"RCB_TIE000000131686"||"14544"
"RCB_TIE000000131911"||"14578"
"RCB_TIE000000137437"||"18807"
"RCB_TIE000000132481"||"26688"
"RCB_TIE000000134455"||"30705"
"RCB_TIE000000134097"||"16256"
"RCB_TIE000000135680"||"17501"
"RCB_TIE000000130852"||"27612"
"RCB_TIE000000130644"||"13630"
"RCB_TIE000000131710"||"14555"
"RCB_TIE000000132581"||"29265"
"RCB_TIE000000131713"||"14414"
"RCB_TIE000000135838"||"17642"
"RCB_TIE000000182933"||"51455"
"RCB_TIE000000137332"||"18922"
"RCB_TIE000000137490"||"18738"
"RCB_TIE000000135091"||"30245"
"RCB_TIE000000135071"||"24858"
"RCB_TIE000000137808"||"19336"
"RCB_TIE000000137787"||"19236"
"RCB_TIE000000132285"||"27716"
"RCB_TIE000000132660"||"15221"
"RCB_TIE000000133119"||"10371"
"RCB_TIE000000182522"||"51591"
"RCB_TIE000000133435"||"15717"
"RCB_TIE000000133478"||"15729"
"RCB_TIE000000135675"||"17510"
"RCB_TIE000000135845"||"17656"
"RCB_TIE000000136086"||"18361"
"RCB_TIE000000132778"||"29544"
"RCB_TIE000000134197"||"16370"
"RCB_TIE000000135152"||"17083"
"RCB_TIE000000132153"||"14807"
"RCB_TIE000000132955"||"33245"
"RCB_TIE000000132935"||"28270"
"RCB_TIE000000134433"||"16543"
"RCB_TIE000000134571"||"16545"
"RCB_TIE000000134558"||"21026"
"RCB_TIE000000134672"||"16733"
"RCB_TIE000000133015"||"15263"
"RCB_TIE000000136716"||"17864"
"RCB_TIE000000247821"||"76018"
"RCB_TIE000000072701"||"76792"
"RCB_TIE000000121260"||"10635"
"RCB_TIE000000240915"||"1323"
"RCB_TIE000000120533"||"17595"
"RCB_TIE000000119699"||"20413"
"RCB_TIE000000222737"||"50474"
"RCB_TIE000000118102"||"31221"
"RCB_TIE000000120260"||"31224"
"RCB_TIE000000122577"||"12019"
"RCB_TIE000000143295"||"28015"
"RCB_TIE000000187167"||"1000231"
"RCB_TIE000000140711"||"22374"
"RCB_TIE000000140968"||"30857"
"RCB_TIE000000138867"||"27910"
"RCB_TIE000000139450"||"29614"
"RCB_TIE000000143236"||"31237"
"RCB_TIE000000143447"||"33120"
"RCB_TIE000000143367"||"26015"
"RCB_TIE000000143440"||"27185"
"RCB_TIE000000143329"||"24984"
"RCB_TIE000000139500"||"20693"
"RCB_TIE000000139949"||"21206"
"RCB_TIE000000139950"||"21268"
"RCB_TIE000000140026"||"21442"
"RCB_TIE000000140691"||"22256"
"RCB_TIE000000143474"||"33484"
"RCB_TIE000000143790"||"24935"
"RCB_TIE000000138202"||"19668"
"RCB_TIE000000143639"||"24867"
"RCB_TIE000000144319"||"25668"
"RCB_TIE000000144001"||"30526"
"RCB_TIE000000140232"||"21806"
"RCB_TIE000000141404"||"22831"
"RCB_TIE000000141438"||"22840"
"RCB_TIE000000141954"||"23278"
"RCB_TIE000000142511"||"30544"
"RCB_TIE000000142911"||"23977"
"RCB_TIE000000143259"||"24377"
"RCB_TIE000000143853"||"29329"
"RCB_TIE000000141017"||"22539"
"RCB_TIE000000139999"||"21401"
"RCB_TIE000000140150"||"21483"
"RCB_TIE000000140723"||"22365"
"RCB_TIE000000185616"||"52206"
"RCB_TIE000000143322"||"30065"
"RCB_TIE000000143382"||"24309"
"RCB_TIE000000141605"||"22849"
"RCB_TIE000000141464"||"22692"
"RCB_TIE000000141709"||"22963"
"RCB_TIE000000141836"||"32450"
"RCB_TIE000000143336"||"24413"
"RCB_TIE000000141416"||"22714"
"RCB_TIE000000141501"||"17752"
"RCB_TIE000000138208"||"28130"
"RCB_TIE000000141830"||"23057"
"RCB_TIE000000348687"||"87437"
"RCB_TIE000000142597"||"23821"
"RCB_TIE000000142618"||"23771"
"RCB_TIE000000140067"||"21547"
