tiers_id||||||||||||||||||new_code
RCB_TIE000000003996||||||||||||||||||CATQ_D**
RCB_TIE000000004564||||||||||||||||||CATQ_D**
RCB_TIE000000005306||||||||||||||||||CATQ_D**
RCB_TIE000000004570||||||||||||||||||CATQ_D**
RCB_TIE000000005705||||||||||||||||||CATQ_D**
RCB_TIE000000005807||||||||||||||||||CATQ_D**
RCB_TIE000000005709||||||||||||||||||CATQ_D**
RCB_TIE000000005513||||||||||||||||||CATQ_D**
RCB_TIE000000003486||||||||||||||||||CATQ_D**
RCB_TIE000000005225||||||||||||||||||CATQ_D**
RCB_TIE000000005226||||||||||||||||||CATQ_D**
RCB_TIE000000005815||||||||||||||||||CATQ_D**
RCB_TIE000000005823||||||||||||||||||CATQ_D**
RCB_TIE000000005524||||||||||||||||||CATQ_D**
RCB_TIE000000005833||||||||||||||||||CATQ_D**
RCB_TIE000000004493||||||||||||||||||CATQ_D**
RCB_TIE000000005534||||||||||||||||||CATQ_D**
RCB_TIE000000005430||||||||||||||||||CATQ_D**
RCB_TIE000000004905||||||||||||||||||CATQ_D**
RCB_TIE000000005743||||||||||||||||||CATQ_D**
RCB_TIE000000005438||||||||||||||||||CATQ_D**
RCB_TIE000000005844||||||||||||||||||CATQ_D**
RCB_TIE000000004911||||||||||||||||||CATQ_D**
RCB_TIE000000005851||||||||||||||||||CATQ_D**
RCB_TIE000000005650||||||||||||||||||CATQ_D**
RCB_TIE000000005357||||||||||||||||||CATQ_D**
RCB_TIE000000005449||||||||||||||||||CATQ_D**
RCB_TIE000000006007||||||||||||||||||CATQ_D**
RCB_TIE000000006210||||||||||||||||||CATQ_D**
RCB_TIE000000006107||||||||||||||||||CATQ_D**
RCB_TIE000000005453||||||||||||||||||CATQ_D**
RCB_TIE000000005364||||||||||||||||||CATQ_D**
RCB_TIE000000005763||||||||||||||||||CATQ_D**
RCB_TIE000000005915||||||||||||||||||CATQ_D**
RCB_TIE000000004830||||||||||||||||||CATQ_D**
RCB_TIE000000005474||||||||||||||||||CATQ_D**
RCB_TIE000000006234||||||||||||||||||CATQ_D**
RCB_TIE000000005479||||||||||||||||||CATQ_D**
RCB_TIE000000005785||||||||||||||||||CATQ_D**
RCB_TIE000000005931||||||||||||||||||CATQ_D**
RCB_TIE000000005686||||||||||||||||||CATQ_D**
RCB_TIE000000005392||||||||||||||||||CATQ_D**
RCB_TIE000000005890||||||||||||||||||CATQ_D**
RCB_TIE000000006040||||||||||||||||||CATQ_D**
RCB_TIE000000004858||||||||||||||||||CATQ_9MG
RCB_TIE000000005950||||||||||||||||||CATQ_D**
RCB_TIE000000005953||||||||||||||||||CATQ_D**
RCB_TIE000000006058||||||||||||||||||CATQ_D**
RCB_TIE000000005956||||||||||||||||||CATQ_D**
RCB_TIE000000004867||||||||||||||||||CATQ_D**
RCB_TIE000000006261||||||||||||||||||CATQ_D**
RCB_TIE000000007109||||||||||||||||||CATQ_D**
RCB_TIE000000007411||||||||||||||||||CATQ_9SL
RCB_TIE000000007418||||||||||||||||||CATQ_9SL
RCB_TIE000000007118||||||||||||||||||CATQ_D**
RCB_TIE000000006723||||||||||||||||||CATQ_D**
RCB_TIE000000006169||||||||||||||||||CATQ_D**
RCB_TIE000000006073||||||||||||||||||CATQ_D**
RCB_TIE000000006931||||||||||||||||||CATQ_D**
RCB_TIE000000007330||||||||||||||||||CATQ_D**
RCB_TIE000000006176||||||||||||||||||CATQ_D**
RCB_TIE000000007130||||||||||||||||||CATQ_D**
RCB_TIE000000007131||||||||||||||||||CATQ_D**
RCB_TIE000000006938||||||||||||||||||CATQ_D**
RCB_TIE000000006088||||||||||||||||||CATQ_D**
RCB_TIE000000005988||||||||||||||||||CATQ_D**
RCB_TIE000000006091||||||||||||||||||CATQ_D**
RCB_TIE000000007147||||||||||||||||||CATQ_D**
RCB_TIE000000006192||||||||||||||||||CATQ_D**
RCB_TIE000000007150||||||||||||||||||CATQ_D**
RCB_TIE000000005995||||||||||||||||||CATQ_D**
RCB_TIE000000006964||||||||||||||||||CATQ_D**
RCB_TIE000000007062||||||||||||||||||CATQ_D**
RCB_TIE000000007064||||||||||||||||||CATQ_D**
RCB_TIE000000006618||||||||||||||||||CATQ_D**
RCB_TIE000000006619||||||||||||||||||CATQ_D**
RCB_TIE000000006979||||||||||||||||||CATQ_D**
RCB_TIE000000006526||||||||||||||||||CATQ_D**
RCB_TIE000000007481||||||||||||||||||CATQ_D**
RCB_TIE000000007619||||||||||||||||||CATQ_D**
RCB_TIE000000006896||||||||||||||||||CATQ_D**
RCB_TIE000000007290||||||||||||||||||CATQ_D**
RCB_TIE000000006635||||||||||||||||||CATQ_D**
RCB_TIE000000007392||||||||||||||||||CATQ_D**
RCB_TIE000000006441||||||||||||||||||CATQ_D**
RCB_TIE000000006443||||||||||||||||||CATQ_D**
RCB_TIE000000007532||||||||||||||||||CATQ_D**
RCB_TIE000000008203||||||||||||||||||CATQ_D**
RCB_TIE000000009303||||||||||||||||||CATQ_D**
RCB_TIE000000008602||||||||||||||||||CATQ_D**
