ADRESSE_ID|||||||||||||||||||ERP_ID_ADRESSE
RCB_ADR000000380905|||||||||||||||||||131520
RCB_ADR000000380906|||||||||||||||||||97606
RCB_ADR000000380907|||||||||||||||||||146603
RCB_ADR000000380904|||||||||||||||||||112465
RCB_ADR000000380908|||||||||||||||||||95467
RCB_ADR000000380909|||||||||||||||||||98379
RCB_ADR000000380911|||||||||||||||||||91886
RCB_ADR000000380913|||||||||||||||||||146183
RCB_ADR000000380912|||||||||||||||||||156609
RCB_ADR000000380914|||||||||||||||||||106055
RCB_ADR000000380915|||||||||||||||||||89472
RCB_ADR000000380916|||||||||||||||||||117750
RCB_ADR000000380917|||||||||||||||||||84504
RCB_ADR000000380920|||||||||||||||||||107397
RCB_ADR000000380919|||||||||||||||||||86931
RCB_ADR000000380922|||||||||||||||||||142461
RCB_ADR000000380923|||||||||||||||||||68346
RCB_ADR000000380918|||||||||||||||||||77099
RCB_ADR000000380924|||||||||||||||||||158274
RCB_ADR000000380925|||||||||||||||||||148721
RCB_ADR000000380926|||||||||||||||||||156885
RCB_ADR000000380928|||||||||||||||||||179371
RCB_ADR000000380929|||||||||||||||||||143460
RCB_ADR000000382731|||||||||||||||||||167431
RCB_ADR000000382730|||||||||||||||||||169313
RCB_ADR000000382733|||||||||||||||||||90417
RCB_ADR000000382734|||||||||||||||||||73426
RCB_ADR000000382736|||||||||||||||||||168621
RCB_ADR000000382735|||||||||||||||||||126950
RCB_ADR000000382738|||||||||||||||||||168157
RCB_ADR000000382742|||||||||||||||||||113239
RCB_ADR000000382746|||||||||||||||||||66564
RCB_ADR000000382745|||||||||||||||||||78668
RCB_ADR000000382743|||||||||||||||||||65691
RCB_ADR000000382748|||||||||||||||||||139209
RCB_ADR000000382747|||||||||||||||||||126964
RCB_ADR000000382751|||||||||||||||||||94193
RCB_ADR000000382749|||||||||||||||||||73616
RCB_ADR000000382755|||||||||||||||||||125734
RCB_ADR000000382761|||||||||||||||||||83815
RCB_ADR000000382758|||||||||||||||||||79618
RCB_ADR000000382759|||||||||||||||||||97660
RCB_ADR000000382763|||||||||||||||||||160604
RCB_ADR000000382765|||||||||||||||||||73636
RCB_ADR000000382764|||||||||||||||||||154058
RCB_ADR000000382767|||||||||||||||||||104859
RCB_ADR000000382771|||||||||||||||||||142755
RCB_ADR000000382774|||||||||||||||||||168303
RCB_ADR000000382775|||||||||||||||||||81766
RCB_ADR000000382778|||||||||||||||||||78650
RCB_ADR000000382779|||||||||||||||||||93525
RCB_ADR000000382784|||||||||||||||||||69395
RCB_ADR000000382787|||||||||||||||||||192395
RCB_ADR000000382786|||||||||||||||||||168257
RCB_ADR000000382788|||||||||||||||||||170381
RCB_ADR000000382789|||||||||||||||||||125890
RCB_ADR000000382790|||||||||||||||||||179663
RCB_ADR000000382794|||||||||||||||||||169383
RCB_ADR000000382791|||||||||||||||||||93176
RCB_ADR000000382792|||||||||||||||||||82808
RCB_ADR000000382795|||||||||||||||||||126384
RCB_ADR000000382796|||||||||||||||||||123862
RCB_ADR000000382799|||||||||||||||||||169333
RCB_ADR000000382798|||||||||||||||||||68453
RCB_ADR000000382801|||||||||||||||||||137655
RCB_ADR000000382800|||||||||||||||||||102844
RCB_ADR000000382802|||||||||||||||||||94433
RCB_ADR000000382803|||||||||||||||||||170497
RCB_ADR000000382804|||||||||||||||||||126024
RCB_ADR000000382805|||||||||||||||||||125954
RCB_ADR000000382807|||||||||||||||||||123998
RCB_ADR000000382809|||||||||||||||||||65908
RCB_ADR000000382808|||||||||||||||||||170867
RCB_ADR000000382810|||||||||||||||||||105069
RCB_ADR000000382811|||||||||||||||||||90797
RCB_ADR000000382814|||||||||||||||||||83393
RCB_ADR000000382816|||||||||||||||||||127202
RCB_ADR000000382817|||||||||||||||||||76403
RCB_ADR000000382818|||||||||||||||||||126730
RCB_ADR000000382819|||||||||||||||||||169285
RCB_ADR000000382820|||||||||||||||||||170445
RCB_ADR000000382821|||||||||||||||||||168663
RCB_ADR000000382824|||||||||||||||||||127330
RCB_ADR000000382822|||||||||||||||||||126080
RCB_ADR000000382825|||||||||||||||||||79756
RCB_ADR000000382826|||||||||||||||||||164749
RCB_ADR000000382827|||||||||||||||||||192045
RCB_ADR000000382829|||||||||||||||||||72505
RCB_ADR000000382831|||||||||||||||||||105083
RCB_ADR000000382832|||||||||||||||||||171177
RCB_ADR000000382835|||||||||||||||||||126098
