ID|erp_id_client||||||||||||||||||||||||||erp_id_tiers
RCB_TIE000000240672|RCB_STE_COM000000000013|160570|||||||||||||||||||||||||570
RCB_TIE000000240668|RCB_STE_COM000000000013|160506|||||||||||||||||||||||||506
